Sample_ID,sample_number,top_cm,age_yrBP,Pinus hap,Pinus dip,Pinus undiff,Picea,Abies,Pseudotsuga/Larix,Juniperus-type,Tsuga heterophylla,Tsuga mertensiana,Taxus brevifolia,Myrica,Ericaceae,Alnus,Alnus rubra-type,Alnus sinuata-type,Corylus,Betula,Salix,P. balsamifera-type,P. tremuloides-type,Populus undiff.,Fraxinus,Quercus,Sambucus,Acer incana,Rosaceae,Prunus,Spiraea,Amelanchier,Rubus,Potentilla,Ceanothus,Shepherdia,Eleagnus argentea-type,Rhus,Arceuthobium,Ephedra,Sarcobatus,Unknown betuloid,Other trees and shrubs,Cereal-type,Poaceae,Cyperaceae,Artemisia,Ambrosia-type,Iva ciliata-type,Iva xanthifolia-type,Bidens-type,Other Tubuliflorae,Liguliflorae,Chenopodiineae,Salsola-type,Other Ranuncula,Thalictrum,Umbelliferae,Brassicaceae,Caryophyllaceae,Other Polygonaceae,Polygonum bistortoides,Polygonum californicum-type,Eriogonum,Rumex,Onagraceae,Galium,Lamiaceae,Berberis,Scrophulariaceae-type,Saxifragaceae,Fabaceae,Liliaceae,Camassia-type,Caprifoliaceae,Plantago,Plantago-unknown,Valeriana,Phlox-type,Gilia-type,Sphaeralcea,Linum,Dodecatheon-type,Urtica-type,Other herbs,C Pteridium-type,Dryopteris-type,Lycopodium,Botrychium-type,Selaginella densa-type,Indeterminate-type,Unknown,Equisetum,Sparganium-type,Typha latifolia,Sparganium-type,Potamogeton,Myriophyllum,Ruppia,Sagittaria,Nuphar,Brasenia,Polygonum amphibium-type,Lemna,Menyanthes,Isoetes
CH102D,125,408.5,2685,1.84,39.74,21.71,6.32,0.13,0.53,0,0,0,0,0,0,0,0,1.05,0,0.26,0.26,0,0,0.26,0,1.84,0,0,0.26,0,0,0,0,0,0,0,0,0,2.37,0.26,3.16,0,0,0,2.37,0.79,10.79,0.53,0,0,0,0.53,0,3.68,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102D,175,433.5,2793,0.57,48.42,21.78,6.02,0.29,0.29,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,2.01,0.86,8.6,2.01,0,0,0,1.15,0.29,3.15,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102E,25,458.5,2954,1.25,42.91,32.12,3.64,2.26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,1.25,0,0,0,0.75,1,5.77,0.5,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,
CH102E,75,483.5,3181,2.12,49.26,21.13,3.61,0.32,0.21,0,0,0,0,0,0.21,0,0,0.42,0,0,1.49,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,1.49,0,0,0,2.12,0,11.46,0.42,0,0,0,0.64,0,1.91,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0.85,0,0,0,0,
CH102E,125,508.5,3428,0.83,36.14,28.14,8.28,1.52,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0,2.76,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,2.21,1.1,8.28,0.55,0,0,0,0.55,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102E,165,528.5,3641,1.07,38.36,12.79,4.11,0.15,0.3,0,0,0,0,0,0,0.91,0,0,0,0.3,3.04,0,0,0,0,2.74,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0.61,1.83,0,0,0,6.39,2.13,16.74,1.22,0,0,0,0.3,0,5.18,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102F,25,557,3982,0.25,33.83,31.33,9.65,0.88,0.5,0.25,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,3.01,0,0,0.25,0,0,0,0,0,0,0,0,0,1.25,0.25,1.5,0,0,0,2.01,0.25,9.52,0.75,0,0,0,0.5,0,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,
Ch102F,75,582,4269,0.76,33.76,20.69,7.36,0.38,0,0,0,0,0,0,0,0,0,0.25,0,0,1.02,0,0,0,0,5.84,0,0.25,0,0,0,0,0,0,0,0,0,0,0.76,0,1.52,0,0,0,3.55,0.25,11.17,1.27,0,0,0,1.02,0,9.14,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0.25,0,0,0,0,
CH102F,125,607,4523,1.22,42.01,31.98,2.85,0,0,0.54,0,0,0,0,0,0,0,0.54,0,0.27,1.08,0,0,0.27,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,1.08,0.54,8.4,1.63,0,0,0,1.36,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH102F,175,632,4777,0.87,35.12,20.46,2.9,0,0.29,0,0,0,0,0,0,0,0,0.58,0,0,0.87,0,0,0,0,2.9,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0.29,2.9,0,0,0,3.48,0.58,20.61,0.58,0,0,0,1.45,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,
CH101F,117,657,5075,0,4.58,71.03,0.33,1.15,0,0,0,0,0,0,0,0.98,0,0,0,0,4.26,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1.31,0,0.33,0,3.6,2.95,2.62,0,0,0,0,0.65,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0.98,0,0,0,0,
