sampleCm,calAge,calAgeUci,calAgeLci,sedAcc,sedAccUci,sedAccLci,sampleRes,sampleResUci,sampleResLci
152.5,917.48,970.21,861.07,0.142,0.175,0.122,3.53,4.1,2.86
153,921.13,973.95,864.17,0.141,0.173,0.122,3.54,4.1,2.88
153.5,924.78,977.47,867.35,0.141,0.173,0.122,3.56,4.11,2.9
154,928.44,980.96,870.75,0.14,0.171,0.121,3.57,4.12,2.92
154.5,932.12,984.67,873.92,0.139,0.17,0.121,3.59,4.12,2.94
155,935.8,988.39,877.18,0.139,0.17,0.121,3.6,4.13,2.95
155.5,939.5,992.1,880.64,0.138,0.168,0.12,3.62,4.15,2.97
156,943.21,995.7,884,0.137,0.167,0.12,3.64,4.17,2.99
156.5,946.92,999.7,887.58,0.137,0.167,0.12,3.65,4.18,3
157,950.65,1003.64,890.81,0.137,0.166,0.119,3.66,4.19,3.01
157.5,954.39,1007.71,894.53,0.136,0.165,0.119,3.67,4.2,3.02
158,958.15,1011.78,898.13,0.136,0.165,0.119,3.69,4.22,3.03
158.5,961.91,1015.84,901.66,0.135,0.165,0.118,3.7,4.24,3.04
159,965.69,1019.91,905.15,0.134,0.164,0.117,3.72,4.28,3.05
159.5,969.48,1023.97,908.73,0.134,0.164,0.116,3.73,4.3,3.05
160,973.28,1027.74,912.58,0.134,0.163,0.116,3.74,4.33,3.07
160.5,977.09,1031.39,915.82,0.133,0.162,0.115,3.76,4.35,3.08
161,980.92,1035.05,919.28,0.132,0.162,0.114,3.77,4.38,3.09
161.5,984.75,1038.54,923.23,0.132,0.162,0.114,3.79,4.4,3.09
162,988.6,1041.99,927.27,0.132,0.162,0.113,3.8,4.43,3.1
162.5,992.46,1045.54,931.04,0.131,0.161,0.112,3.81,4.45,3.1
163,996.34,1049.24,935.34,0.131,0.161,0.112,3.83,4.48,3.11
163.5,1000.23,1052.93,939.16,0.13,0.16,0.111,3.84,4.5,3.12
164,1004.12,1056.62,942.62,0.13,0.16,0.11,3.86,4.53,3.13
164.5,1008.04,1060.31,946.44,0.129,0.159,0.11,3.87,4.56,3.14
165,1011.96,1063.99,950.06,0.129,0.159,0.109,3.89,4.59,3.14
165.5,1015.9,1067.47,953.89,0.128,0.159,0.108,3.9,4.62,3.15
166,1019.85,1071.09,957.7,0.128,0.158,0.108,3.91,4.65,3.16
166.5,1023.81,1074.76,961.36,0.127,0.158,0.107,3.92,4.68,3.17
167,1027.79,1078.54,965.04,0.127,0.157,0.106,3.94,4.71,3.18
167.5,1031.78,1082.5,968.75,0.126,0.157,0.106,3.96,4.73,3.18
168,1035.78,1086.6,972.57,0.126,0.157,0.105,3.97,4.76,3.19
168.5,1039.8,1090.44,976.75,0.126,0.156,0.104,3.98,4.79,3.2
169,1043.83,1094.42,981.18,0.125,0.155,0.104,4,4.81,3.22
169.5,1047.87,1098.4,985.46,0.125,0.155,0.103,4.01,4.84,3.22
170,1051.93,1102.25,989.58,0.124,0.155,0.103,4.02,4.86,3.23
170.5,1056,1106.13,993.47,0.124,0.154,0.102,4.03,4.89,3.24
171,1060.09,1109.71,997.22,0.124,0.154,0.102,4.05,4.91,3.26
171.5,1064.18,1113.25,1001.1,0.123,0.153,0.101,4.06,4.94,3.27
172,1068.3,1116.79,1005.01,0.123,0.153,0.101,4.08,4.96,3.27
172.5,1072.42,1120.33,1008.83,0.122,0.153,0.1,4.09,4.98,3.27
173,1076.56,1123.91,1012.72,0.122,0.153,0.1,4.1,5,3.27
